"code","iso","country","SOE.ind.1995","SOE.ind.1996","SOE.ind.1997","SOE.ind.1998","SOE.ind.1999","SOE.ind.2000","SOE.ind.2001","SOE.ind.2002","SOE.ind.2003","SOE.ind.2004","SOE.ind.2005","SOE.ind.2006","SOE.ind.2007","SOE.ind.2008","SOE.ind.2009","SOE.ind.2010","SOE.ind.2011","SOE.ind.2012","SOE.ind.2013","SOE.ind.2014","SOE.ind.2015","SOE.ind.2016","SOE.ind.2017","SOE.ind.2018","SOE.ind.2019","SOE.ind.2020","SOE.ind.2021","SOE.ind.2022"
4,"AFG","Afghanistan",72.8300809720374,72.8300809720374,72.8300809720374,72.8300809720374,72.8300809720374,72.8300809720374,72.8300809720374,72.8300809720374,72.8300809720374,71.5385421357269,70.9173378747403,69.451926275213,68.2952202414132,66.8395997522228,66.820271530789,65.5360606098253,64.9568115556619,64.6577213378153,63.9053732685816,63.382472931052,63.1843117928628,61.3858122087819,61.5399496402376,61.3212290356769,61.1576225392702,61.1576225392702,61.1576225392702,61.1576225392702
8,"ALB","Albania",24.1756992179415,24.1756992179415,24.1756992179415,24.1756992179415,24.1756992179415,24.1756992179415,24.1756992179415,24.1756992179415,24.1756992179415,26.2652762585427,26.1607691350797,27.544809099512,29.5012112012238,31.1538666450423,33.568291124475,36.725326334957,35.1234536598124,36.8595279766303,38.4485706096497,40.325688295073,39.8563779676942,41.9536133575548,41.8243107616517,41.6632643645219,43.2610632480722,43.2610632480722,43.2610632480722,43.2610632480722
12,"DZA","Algeria",42.7650806703288,42.7650806703288,42.7650806703288,42.7650806703288,42.7650806703288,42.7650806703288,42.7650806703288,42.7650806703288,42.7650806703288,41.3567653767745,40.7557894992112,40.742377724001,41.1472972983858,41.2438255141994,41.7408453164072,42.4124152913542,39.1201675657126,36.2771487100733,37.0118381301265,33.3804239606763,31.3415618141342,30.1957975817632,29.1582656433629,28.2539590193948,27.5933281887155,27.5933281887155,27.5933281887155,27.5933281887155
20,"AND","Andorra",40.081913017288,40.081913017288,40.081913017288,40.081913017288,40.081913017288,40.081913017288,40.081913017288,40.081913017288,40.081913017288,41.8292534733392,42.983367039482,43.9104522178737,46.6252369780015,48.1180083406755,50.1197832890221,53.3512863693593,53.7785294196643,55.0986909681663,57.1310640502119,57.5983854025664,58.8416935653351,60.3384117805803,61.7917727438855,64.3070638480591,65.3031681467241,65.3031681467241,65.3031681467241,65.3031681467241
24,"AGO","Angola",67.1777090240919,67.1777090240919,67.1777090240919,67.1777090240919,67.1777090240919,67.1777090240919,67.1777090240919,67.1777090240919,67.1777090240919,66.8337925633485,66.9343229297892,66.4875172481705,65.200039865379,65.1667726410585,65.7662598544218,64.9552619235519,63.6298369724572,65.5602470955892,64.1979685439691,64.9392467435615,63.5479585369352,62.0594452903483,63.2923744978646,62.1486512388283,60.2489621326674,60.2489621326674,60.2489621326674,60.2489621326674
660,"AIA","Anguilla",79.4264704746452,79.4264704746452,79.4264704746452,79.4264704746452,79.4264704746452,79.4264704746452,79.4264704746452,79.4264704746452,79.4264704746452,83.105434720082,79.6097296084322,80.4139519992993,80.3690631104194,84.3759753788002,82.9270628353728,77.9386061937973,82.9133726079606,81.5615979582875,84.4088721314222,83.7058831760933,81.8908696241765,80.5123829196794,84.4049134520838,87.9479266718959,85.2885344553895,85.2885344553895,85.2885344553895,85.2885344553895
28,"ATG","Antigua and Barbuda",54.1787296144914,54.1787296144914,54.1787296144914,54.1787296144914,54.1787296144914,54.1787296144914,54.1787296144914,54.1787296144914,54.1787296144914,56.9918186358789,53.157364227946,53.9893651463643,55.6383389290629,58.6606828989122,58.0622207803891,52.2795486279625,55.841002014177,56.8803458235891,58.0821187361267,58.1900829887069,56.5599868812339,53.3421108286995,62.6036488558923,63.6456530013585,62.1667748602642,62.1667748602642,62.1667748602642,62.1667748602642
32,"ARG","Argentina",59.4683609981139,59.4683609981139,59.4683609981139,59.4683609981139,59.4683609981139,59.4683609981139,59.4683609981139,59.4683609981139,59.4683609981139,61.1440821494705,62.0348109265738,61.736425899082,62.648813075338,61.9992792880649,63.8195577889436,65.0582770680693,65.4513095766694,65.8096745838364,65.7652842480094,66.7394072755166,66.6528508998467,67.4745762919043,67.9112122571744,68.1984581655823,68.5056459068958,68.5056459068958,68.5056459068958,68.5056459068958
51,"ARM","Armenia",45.4290653639864,45.4290653639864,45.4290653639864,45.4290653639864,45.4290653639864,45.4290653639864,45.4290653639864,45.4290653639864,45.4290653639864,45.1712642502115,44.667011838418,42.0987314966986,40.1491245966349,37.1362941817992,36.2814501152228,34.8947779899941,35.056776683777,34.5238788399585,34.5098273845813,33.9991318438484,34.7380634039268,34.259552972223,33.9601221423556,35.1928221240557,33.4662124616748,33.4662124616748,33.4662124616748,33.4662124616748
533,"ABW","Aruba",58.7583399035362,58.7583399035362,58.7583399035362,58.7583399035362,58.7583399035362,58.7583399035362,58.7583399035362,58.7583399035362,58.7583399035362,59.8241553417408,58.6768030511517,59.9304583586218,60.4099057906227,62.2950781270814,61.9788841597934,60.4027547894684,61.5951653165176,61.5368291560389,61.9174965130113,62.6934464813531,62.2693460616537,60.5622077254972,61.1026577129158,62.3115296755742,61.1785791836883,61.1785791836883,61.1785791836883,61.1785791836883
36,"AUS","Australia",23.9850628749496,23.9850628749496,23.9850628749496,23.9850628749496,23.9850628749496,23.9850628749496,23.9850628749496,23.9850628749496,23.9850628749496,24.6260254208319,24.5566487510798,25.7020795904099,26.9466716898224,27.7578737851687,28.5353668225256,29.1801998685927,30.4995329404277,31.1868261304184,31.9898642105495,32.494947613784,33.2798492638092,35.1413875932756,36.397551569013,37.8207393389875,37.8032189174612,37.8032189174612,37.8032189174612,37.8032189174612
40,"AUT","Austria",41.5463122080431,41.5463122080431,41.5463122080431,41.5463122080431,41.5463122080431,41.5463122080431,41.5463122080431,41.5463122080431,41.5463122080431,43.8873618068745,43.3866264424217,44.956728201065,47.3081138536272,47.82918604663,49.649137246885,51.6022593883643,52.1975178149743,53.7061011079908,54.4490490710128,54.7998139922091,55.3745742393801,56.973660468726,58.4718754391089,57.6820727804288,59.8977530773399,59.8977530773399,59.8977530773399,59.8977530773399
31,"AZE","Azerbaijan",27.7101066794036,27.7101066794036,27.7101066794036,27.7101066794036,27.7101066794036,27.7101066794036,27.7101066794036,27.7101066794036,27.7101066794036,27.0372774129771,27.9693832884028,28.9517289119391,30.0574248684907,31.7628030202491,32.8678893619046,33.6815605326637,35.4766932285089,35.1385097201132,35.621737692285,36.104282412168,36.43927676312,36.7799074058125,38.2245045366469,39.3154261581016,38.9349342320927,38.9349342320927,38.9349342320927,38.9349342320927
44,"BHS","Bahamas",54.3474254330848,54.3474254330848,54.3474254330848,54.3474254330848,54.3474254330848,54.3474254330848,54.3474254330848,54.3474254330848,54.3474254330848,57.127702552386,56.9305974001118,57.1906255607367,58.1236532349565,59.4916665680474,59.9640782580355,61.4022105102569,60.9368281771487,61.2056232954044,61.6504718310129,60.0344621322624,59.2805422703362,61.1115207968902,68.6127516115155,69.3623269200748,69.7364322988637,69.7364322988637,69.7364322988637,69.7364322988637
