"code","iso","country","VOE.ind.1995","VOE.ind.1996","VOE.ind.1997","VOE.ind.1998","VOE.ind.1999","VOE.ind.2000","VOE.ind.2001","VOE.ind.2002","VOE.ind.2003","VOE.ind.2004","VOE.ind.2005","VOE.ind.2006","VOE.ind.2007","VOE.ind.2008","VOE.ind.2009","VOE.ind.2010","VOE.ind.2011","VOE.ind.2012","VOE.ind.2013","VOE.ind.2014","VOE.ind.2015","VOE.ind.2016","VOE.ind.2017","VOE.ind.2018","VOE.ind.2019","VOE.ind.2020","VOE.ind.2021","VOE.ind.2022"
4,"AFG","Afghanistan",39.2983310201432,39.2983310201432,39.2983310201432,39.2983310201432,39.2983310201432,39.2983310201432,39.2983310201432,39.2983310201432,39.2983310201432,41.7178125962452,40.1696053085498,41.1095590640554,38.5319349830073,39.1551925368307,39.0615483639238,38.8495486854825,37.8764985229063,37.9006195719861,36.8186986615764,36.8758182383921,35.9488979602335,40.0078074460354,38.6443859801263,39.0584890651823,37.4549093461997,37.4549093461997,37.4549093461997,37.4549093461997
8,"ALB","Albania",47.1024235265935,47.1024235265935,47.1024235265935,47.1024235265935,47.1024235265935,47.1024235265935,47.1024235265935,47.1024235265935,47.1024235265935,50.8785100186885,45.3931266666452,49.1774600309259,47.8850316999402,49.9675793794608,50.5097740705327,46.6515570741002,43.5310140609139,41.0054681828668,49.4600658985915,54.4261324901515,46.0833594290316,49.7789299684307,44.2070969518094,47.1697520208517,46.9461787547452,46.9461787547452,46.9461787547452,46.9461787547452
12,"DZA","Algeria",30.5921455224191,30.5921455224191,30.5921455224191,30.5921455224191,30.5921455224191,30.5921455224191,30.5921455224191,30.5921455224191,30.5921455224191,28.8457569213671,30.0984868278158,30.2261327434586,31.2711320431286,34.5489489123594,29.7021857289012,31.1195300906797,28.329688447883,25.1395089095911,33.2830605788781,28.7607645118003,26.9810899984318,29.7800571035443,29.0749850119299,29.597780624717,30.6571181450992,30.6571181450992,30.6571181450992,30.6571181450992
20,"AND","Andorra",42.7087441097319,42.7087441097319,42.7087441097319,42.7087441097319,42.7087441097319,42.7087441097319,42.7087441097319,42.7087441097319,42.7087441097319,43.2012454565401,50.2539504827474,43.1957979525206,50.648289639942,49.0466656502737,43.745446450508,47.522482008904,43.5118532336707,43.8601302064867,47.5779498590237,49.3829059307549,46.0764762816874,44.0910706616819,41.9391691085806,43.8916399259782,44.0591061505608,44.0591061505608,44.0591061505608,44.0591061505608
24,"AGO","Angola",9.63288007296197,9.63288007296197,9.63288007296197,9.63288007296197,9.63288007296197,9.63288007296197,9.63288007296197,9.63288007296197,9.63288007296197,9.21994917072819,6.27067299692229,9.30783086437485,6.83827190634723,5.12921285515181,7.3231274934775,2.18096618987305,4.58422828258473,3.64188829805219,3.89637068318167,4.33634010745894,2.61582857773854,5.62724144770986,7.38607090703104,7.55784928801603,8.29393900655688,8.29393900655688,8.29393900655688,8.29393900655688
660,"AIA","Anguilla",93.7442263164473,93.7442263164473,93.7442263164473,93.7442263164473,93.7442263164473,93.7442263164473,93.7442263164473,93.7442263164473,93.7442263164473,95.8595825474897,93.552206040471,92.8458195849145,95.2169295551016,96.4681982372406,96.0614329215571,93.2985254118531,96.0800145434729,95.5913368959101,96.3361436289031,96.680039811001,95.690303071559,94.8035299049175,97.3439595635598,97.7198031106286,97.3809752693736,97.3809752693736,97.3809752693736,97.3809752693736
28,"ATG","Antigua and Barbuda",78.5844988107308,78.5844988107308,78.5844988107308,78.5844988107308,78.5844988107308,78.5844988107308,78.5844988107308,78.5844988107308,78.5844988107308,88.6829911152371,83.5576071945137,75.7179863210002,84.867224713061,89.6412889928765,85.8232533919628,79.6143618795188,86.7645357570109,87.282479385435,88.4625849750767,88.7831192651158,86.5867710090892,85.1861876043712,91.9154137784977,91.8481166452585,91.3685970666389,91.3685970666389,91.3685970666389,91.3685970666389
32,"ARG","Argentina",7.63686185820254,7.63686185820254,7.63686185820254,7.63686185820254,7.63686185820254,7.63686185820254,7.63686185820254,7.63686185820254,7.63686185820254,9.32043785406138,19.3421735843027,11.0531125603847,11.1587378817507,20.0404943303198,15.2993770454857,19.0172258515399,16.8063679925075,13.780978106267,14.3137736635963,16.2830385043333,14.2394589724687,22.0133477097883,20.5365218668583,16.3763616131571,16.3109434605756,16.3109434605756,16.3109434605756,16.3109434605756
51,"ARM","Armenia",48.6989349728091,48.6989349728091,48.6989349728091,48.6989349728091,48.6989349728091,48.6989349728091,48.6989349728091,48.6989349728091,48.6989349728091,44.6817455563818,48.3019405922778,39.9229610168195,44.6061636493181,45.2454422990199,50.2733792550887,40.8834155131806,46.6437006418059,46.4482189236597,47.9881737198978,42.3090080396497,42.4785200973658,42.0624190449745,36.2585573252383,43.7246672376381,43.1212777056349,43.1212777056349,43.1212777056349,43.1212777056349
533,"ABW","Aruba",73.4037792914318,73.4037792914318,73.4037792914318,73.4037792914318,73.4037792914318,73.4037792914318,73.4037792914318,73.4037792914318,73.4037792914318,72.9004500532012,66.8603168951616,71.4705136261611,71.2284839839858,74.6527351573695,73.9736778414429,66.8808000379664,66.8991763823969,68.9199862201754,70.405808166881,74.4781182568706,72.6957760881623,62.2268369265788,61.7882085662741,68.5556740344622,66.1762937492831,66.1762937492831,66.1762937492831,66.1762937492831
